X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13655529.653,5716117.8557,438,2025/06/07 17:28:04+00,25-154036,0,20250607102344,Yes,882142,45.5977299998349,-122.66971000037246,97217,East Columbia,2025,6
-13640937.2784,5707649.3941,445,2025/06/07 17:08:04+00,25-154029,0,20250607100218,Yes,882109,45.54447677179383,-122.53862446902468,97220,Parkrose Heights,2025,6
-13658255.5001,5709767.859,457,2025/06/07 15:58:04+00,25-154017,0,20250607085031,Yes,882030,45.55780330073035,-122.69419670149347,97217,Overlook,2025,6
-13639069.806,5699064.7028,460,2025/06/07 15:28:04+00,25-154014,0,20250607082309,Yes,882010,45.490441104998126,-122.52184867902875,97236,Powellhurst-Gilbert,2025,6
-13647396.651,5699413.8822,466,2025/06/07 14:58:04+00,25-154008,0,20250607074943,Yes,881987,45.49263999975855,-122.5966500003487,97206,Foster-Powell,2025,6
-13656374.4326,5701378.0088,470,2025/06/07 14:38:09+00,25-154004,0,20250607072837,No,881976,45.50500713579486,-122.67729878463638,97201,South Portland,2025,6
-13636373.012,5708536.1704,476,2025/06/07 13:48:04+00,25-153998,0,20250607063804,Yes,881956,45.55005555886599,-122.49762296634553,97230,Wilkes,2025,6
-13644246.3245,5710424.0679,478,2025/06/07 13:38:04+00,25-153996,0,20250607062557,Yes,881952,45.561930642651824,-122.56835013589952,97220,Sumner,2025,6
-13658376.7244,5705656.0937,481,2025/06/07 13:20:14+00,25-153993,0,20250607054736,Yes,881938,45.53193472403162,-122.69528567790844,97209,Northwest District,2025,6
-13637710.7421,5704371.4288,482,2025/06/07 13:20:14+00,25-153992,0,20250607044154,No,881932,45.52385000002493,-122.5096400002941,97230,Glenfair,2025,6
-13655179.7055,5707368.2608,484,2025/06/07 13:20:14+00,25-153990,0,20250607012226,No,881918,45.5427080220861,-122.66656636849356,97227,Eliot,2025,6
-13640793.821,5707175.1363,495,2025/06/07 04:08:04+00,25-153979,0,20250606205343,No,881860,45.54149294735894,-122.53733576927428,97230,Russell,2025,6
-13656607.3266,5718342.6343,496,2025/06/07 04:08:04+00,25-153978,0,20250606205244,No,881859,45.611711963153176,-122.67939090703418,97217,Hayden Island,2025,6
-13637591.2272,5700807.3219,498,2025/06/07 03:58:04+00,25-153976,0,20250606204758,No,881855,45.50141408194037,-122.50856637968059,97236,Centennial,2025,6
-13644771.1722,5697654.7846,499,2025/06/07 03:58:04+00,25-153975,0,20250606204753,Yes,881853,45.48156152437731,-122.57306492300698,97266,Lents,2025,6
